problem_id,llm,difficulty,passed,tests_passed,tests_total,tests_passed_pct,loc,cyclomatic_complexity,error
1,chatgptv5.5,Easy,True,115,115,100.0,8,5,0
1,claude_sonnet_4_6,Easy,True,115,115,100.0,7,5,0
1,gemini_v3_flash,Easy,True,115,115,100.0,6,5,0
2,chatgptv5.5,Easy,True,20,20,100.0,5,2,0
2,claude_sonnet_4_6,Easy,True,20,20,100.0,4,2,0
2,gemini_v3_flash,Easy,True,20,20,100.0,7,2,0
3,chatgptv5.5,Easy,True,87,87,100.0,14,6,0
3,claude_sonnet_4_6,Easy,True,87,87,100.0,13,6,0
3,gemini_v3_flash,Easy,False,3,87,3.4482758620689653,19,7,1
4,chatgptv5.5,Easy,False,57,69,82.6086956521739,18,7,1
4,claude_sonnet_4_6,Easy,True,69,69,100.0,16,7,0
4,gemini_v3_flash,Easy,False,57,69,82.6086956521739,18,9,1
5,chatgptv5.5,Easy,True,95,95,100.0,16,8,0
5,claude_sonnet_4_6,Easy,True,95,95,100.0,11,7,0
5,gemini_v3_flash,Easy,True,95,95,100.0,19,7,0
6,chatgptv5.5,Easy,True,6,6,100.0,11,5,0
6,claude_sonnet_4_6,Easy,True,6,6,100.0,9,5,0
6,gemini_v3_flash,Easy,True,6,6,100.0,12,7,0
7,chatgptv5.5,Easy,True,96,96,100.0,11,9,0
7,claude_sonnet_4_6,Easy,True,96,96,100.0,11,6,0
7,gemini_v3_flash,Easy,True,96,96,100.0,12,5,0
8,chatgptv5.5,Easy,True,93,93,100.0,13,2,0
8,claude_sonnet_4_6,Easy,True,93,93,100.0,11,2,0
8,gemini_v3_flash,Easy,True,93,93,100.0,11,2,0
9,chatgptv5.5,Easy,True,75,75,100.0,14,6,0
9,claude_sonnet_4_6,Easy,True,75,75,100.0,11,5,0
9,gemini_v3_flash,Easy,True,75,75,100.0,10,7,0
10,chatgptv5.5,Easy,True,185,185,100.0,19,9,0
10,claude_sonnet_4_6,Easy,True,185,185,100.0,11,6,0
10,gemini_v3_flash,Easy,True,185,185,100.0,16,7,0
11,chatgptv5.5,Medium,True,183,183,100.0,13,5,0
11,claude_sonnet_4_6,Medium,True,183,183,100.0,12,6,0
11,gemini_v3_flash,Medium,True,183,183,100.0,12,5,0
12,chatgptv5.5,Medium,True,21,21,100.0,32,5,0
12,claude_sonnet_4_6,Medium,True,21,21,100.0,13,2,0
12,gemini_v3_flash,Medium,True,21,21,100.0,17,3,0
13,chatgptv5.5,Medium,True,71,71,100.0,26,4,0
13,claude_sonnet_4_6,Medium,True,71,71,100.0,24,4,0
13,gemini_v3_flash,Medium,True,71,71,100.0,11,6,0
14,chatgptv5.5,Medium,True,69,69,100.0,18,6,0
14,claude_sonnet_4_6,Medium,True,69,69,100.0,10,8,0
14,gemini_v3_flash,Medium,True,69,69,100.0,17,6,0
15,chatgptv5.5,Medium,True,159,159,100.0,18,8,0
15,claude_sonnet_4_6,Medium,True,159,159,100.0,12,5,0
15,gemini_v3_flash,Medium,True,159,159,100.0,8,4,0
16,chatgptv5.5,Medium,True,69,69,100.0,24,9,0
16,claude_sonnet_4_6,Medium,True,69,69,100.0,25,8,0
