problem_id,model,difficulty,answer_file,test_file,passed,tests_passed,tests_total,tests_passed_pct,loc,error
1,claude_sonnet_4_6,,1.txt,1.txt,True,115,115,100.0,7,
2,claude_sonnet_4_6,,2.txt,2.txt,True,20,20,100.0,4,
3,claude_sonnet_4_6,,3.txt,3.txt,True,87,87,100.0,13,
4,claude_sonnet_4_6,,4.txt,4.txt,True,69,69,100.0,16,
5,claude_sonnet_4_6,,5.txt,5.txt,True,95,95,100.0,11,
6,claude_sonnet_4_6,,6.txt,6.txt,True,6,6,100.0,9,
7,claude_sonnet_4_6,,7.txt,7.txt,True,96,96,100.0,11,
8,claude_sonnet_4_6,,8.txt,8.txt,True,93,93,100.0,11,
9,claude_sonnet_4_6,,9.txt,9.txt,True,75,75,100.0,11,
10,claude_sonnet_4_6,,10.txt,10.txt,True,185,185,100.0,11,
11,claude_sonnet_4_6,,11.txt,11.txt,True,183,183,100.0,12,
12,claude_sonnet_4_6,,12.txt,12.txt,True,21,21,100.0,13,
13,claude_sonnet_4_6,,13.txt,13.txt,True,71,71,100.0,24,
14,claude_sonnet_4_6,,14.txt,14.txt,True,69,69,100.0,10,
15,claude_sonnet_4_6,,15.txt,15.txt,True,159,159,100.0,12,
16,claude_sonnet_4_6,,16.txt,16.txt,True,69,69,100.0,25,
17,claude_sonnet_4_6,,17.txt,17.txt,True,122,122,100.0,16,
18,claude_sonnet_4_6,,18.txt,18.txt,True,77,77,100.0,12,
19,claude_sonnet_4_6,,19.txt,19.txt,True,128,128,100.0,24,
20,claude_sonnet_4_6,,20.txt,20.txt,False,61,64,95.3125,22,
21,claude_sonnet_4_6,,21.txt,21.txt,True,95,95,100.0,34,
22,claude_sonnet_4_6,,22.txt,22.txt,False,88,93,94.6236559139785,22,
23,claude_sonnet_4_6,,23.txt,23.txt,True,1,1,100.0,48,
24,claude_sonnet_4_6,,24.txt,24.txt,False,65,66,98.48484848484848,23,
25,claude_sonnet_4_6,,25.txt,25.txt,False,115,117,98.29059829059828,35,
26,claude_sonnet_4_6,,26.txt,26.txt,True,67,67,100.0,30,
27,claude_sonnet_4_6,,27.txt,27.txt,True,8,8,100.0,20,
28,claude_sonnet_4_6,,28.txt,28.txt,True,100,100,100.0,31,
29,claude_sonnet_4_6,,29.txt,29.txt,False,0,92,0.0,22,
30,claude_sonnet_4_6,,30.txt,30.txt,True,114,114,100.0,18,
